4,1,3
6,2,7
8,2,7
4,3,5
6,3,5
8,3,9
1,5,0
7,5,8
10,5,11
12,5,11
11,5,12
13,5,12
0,9,1
2,9,1
12,9,13
5,11,6
7,11,6
5,14,4
9,15,10
1,16,2
3,16,2
2,16,3
4,16,3
4,18,5
6,18,7
8,18,7
9,19,8
1,20,0
10,20,11
11,20,12
13,20,12
12,23,13
0,24,1
2,24,1
5,27,6
5,28,4
9,30,10
11,30,10
1,32,2
3,32,2
2,32,3
4,32,3
6,32,7
8,32,7
6,33,5
8,33,9
10,33,9
7,34,8
9,34,8
10,36,11
12,36,11
11,36,12
13,36,12
12,38,13
0,40,1
5,41,6
7,41,6
3,43,4
5,43,4
9,45,10
1,46,2
2,46,3
4,46,3
6,47,7
8,47,7
4,49,5
6,49,5
7,49,8
9,49,8
8,49,9
1,50,0
10,50,11
12,50,11
11,50,12
0,54,1
2,54,1
12,54,13
5,56,6
7,56,6
3,58,4
5,58,4
11,60,10
3,61,2
2,61,3
4,63,5
6,63,5
6,63,7
8,63,7
8,63,9
10,63,9
7,64,8
9,64,8
1,65,0
10,65,11
11,65,12
13,65,12
12,68,13
0,69,1
2,69,1
5,71,6
6,73,4
9,76,10
11,76,10
8,77,7
7,80,8
9,80,8
10,80,11
12,80,11
11,80,12
13,80,12
12,83,13
0,85,1
4,86,6
6,89,4
9,90,10
11,90,10
8,92,7
7,94,8
8,94,9
10,94,9
1,95,0
12,95,11
11,95,12
13,95,12
12,98,13
0,99,1
4,102,6
6,103,4
9,105,10
11,105,10
8,107,7
8,108,9
10,108,9
7,109,8
9,109,8
1,111,0
10,111,11
13,111,12
12,113,13
0,114,1
6,118,4
9,120,10
11,120,10
8,122,7
8,123,9
10,123,9
1,125,0
7,125,8
9,125,8
12,125,11
11,125,12
13,125,12
0,129,1
12,129,13
4,131,6
6,133,4
9,135,10
11,135,10
10,138,9
7,139,8
9,139,8
1,140,0
10,140,11
12,140,11
11,140,12
13,140,12
12,143,13
0,144,1
6,148,4
9,151,10
11,151,10
8,152,7
8,153,9
10,153,9
7,154,8
9,154,8
10,156,11
12,156,11
11,156,12
12,158,13
0,160,1
11,165,10
8,167,7
7,169,8
9,169,8
10,169,9
1,170,0
10,170,11
12,170,11
13,170,12
12,173,13
0,174,1
6,178,4
9,180,10
11,180,10
8,182,7
8,183,9
7,184,8
9,184,8
1,185,0
10,185,11
12,185,11
11,185,12
13,185,12
12,188,13
0,189,1
6,193,4
9,195,10
11,195,10
8,197,7
8,198,9
10,198,9
1,200,0
7,200,8
9,200,8
10,200,11
12,200,11
11,200,12
13,200,12
12,204,13
4,206,6
